Food Name,Calories (kcal),Protein (g),Carbs (g),Fat (g),FDC ID
"GOURMET PEANUT BRITTLE, PEANUT",425.0,7.5,72.5,15.0,2266303
"MIXED NUTS WITH PEANUTS, PEANUTS",567.0,23.3,20.0,50.0,2636783
"ORIGINAL PEANUT PUFFS, PEANUT",554.0,17.9,53.6,32.1,2642406
"PEANUT BRITTER BAR, PEANUT",327.0,33.3,70.0,73.3,2419257
"PEANUT BRITTLE BITES, PEANUT",480.0,8.0,40.0,36.0,2366552
"PEANUT BRITTLE CRUNCH, PEANUT",573.0,7.69,92.3,26.9,2494956
"PEANUT BRITTLE MIX, PEANUT",500.0,10.7,64.3,21.4,2214585
"PEANUT BUTTER BITES, PEANUT",400.0,20.0,35.0,25.0,1135225
"PEANUT CHIKKI BITES, PEANUT",535.0,15.0,55.0,30.0,2412799
"PEANUT CHOCOLATE CANDIES, PEANUT",507.0,10.1,60.8,26.4,2575166
ALMONDS,633.0,23.3,13.3,56.7,2074342
Almond oil,884.0,0.0,0.0,100.0,2710181
Almond paste,458.0,9.0,47.81,27.74,2707535
"Almonds, flavored",599.0,20.07,20.12,53.27,2707490
"Almonds, NFS",598.0,20.96,21.01,52.54,2707485
"Almonds, salted",601.0,20.13,20.18,53.43,2707487
"Almonds, unroasted",626.0,21.45,20.03,51.09,2707486
"Almonds, unsalted",607.0,20.33,20.38,53.96,2707489
"Cookie, almond",514.0,5.37,63.78,26.22,2707900
"Flour, almond",,26.2,16.2,50.2,2261420
"Nuts, almonds",579.0,21.2,21.6,49.9,170567
"Oil, almond",3700.0,0.0,0.0,100.0,171031
"Almonds, honey roasted",579.0,14.11,35.84,45.34,2707491
"Almonds, lightly salted",604.0,20.23,20.28,53.7,2707488
"Candies, nougat, with almonds",1660.0,3.33,92.4,1.67,169060
"Nuts, almond paste",1920.0,9.0,47.8,27.7,170160
"Nuts, almonds, blanched",590.0,21.4,18.7,52.5,170568
"Candies, sugar-coated almonds",465.0,10.0,68.3,17.9,170656
"Nuts, almonds, whole, raw",,21.5,20.0,51.1,2346393
OATMEAL,1580.0,,66.7,6.67,1995469
"Oatmeal, multigrain",56.0,2.12,12.19,0.46,2708398
"Oatmeal, NFS",76.0,2.18,11.17,2.63,2708380
"Cookie, oatmeal",450.0,6.2,68.7,18.1,2707945
"Crackers, oatmeal",455.0,7.3,70.73,16.4,2708136
"Muffin, oatmeal",370.0,6.43,43.94,18.92,2707839
"Pie, oatmeal",396.0,6.14,56.92,16.02,2708016
"Roll, oatmeal",269.0,8.4,48.5,4.4,2707773
"Cookie, oatmeal, with raisins",450.0,6.2,68.7,18.1,2707946
"Snack bar, oatmeal",389.0,6.67,75.47,6.67,2708100
"Oatmeal, reduced sugar",85.0,2.35,16.62,1.28,2708397
"Cookies, oatmeal, with raisins",1850.0,5.86,69.0,15.8,174963
"Oatmeal, fast food, flavored",110.0,2.4,20.34,2.33,2708379
"Oatmeal, fast food, plain",80.0,2.6,11.9,2.54,2708378
"Cookie, oatmeal, reduced sugar",449.0,4.8,69.9,18.0,2707986
"Cookies, oatmeal, dry mix",462.0,6.5,67.3,19.2,174960
"Cookies, oatmeal, reduced fat",1530.0,4.02,64.6,10.0,171865
"Cookies, oatmeal, refrigerated dough",424.0,5.4,59.1,18.9,174961
"Cookies, oatmeal, soft, with raisins",1800.0,5.79,69.6,14.3,333008
"Cookie, oatmeal sandwich, with creme filling",398.0,2.61,55.62,18.29,2707948
"Archway Home Style Cookies, Oatmeal",421.0,5.48,68.2,14.1,175074
"Baby Toddler cereal, oatmeal, dry",394.0,10.99,73.48,6.36,2708492
"Babyfood, cereal, oatmeal, dry fortified",394.0,11.0,73.5,6.36,171360
"Babyfood, cereal, oatmeal, with honey, dry",391.0,13.5,69.3,7.0,170968
"Cookies, oatmeal sandwich, with creme filling",398.0,2.61,55.6,18.3,171842
"Cookies, oatmeal, commercially prepared, regular",450.0,6.2,68.7,18.1,172725
"Cookies, oatmeal, refrigerated dough, baked",471.0,6.0,65.7,21.0,174962
"Cookie, oatmeal, reduced fat, NS as to raisins",365.0,4.02,64.62,10.04,2707947
"Cereals, QUAKER, Instant Oatmeal Organic, Regular",1540.0,16.0,67.0,6.3,174660
"Oatmeal, instant, fruit flavored, fat added",117.0,2.29,19.51,3.4,2708396
"Oatmeal, instant, fruit flavored, no added fat",100.0,2.34,20.09,1.19,2708395
"Oatmeal, instant, maple flavored, fat added",119.0,2.38,19.64,3.45,2708394
"Oatmeal, instant, maple flavored, no added fat",102.0,2.44,20.23,1.25,2708393
"Archway Home Style Cookies, Iced Oatmeal",435.0,4.89,66.8,16.5,175072
"Archway Home Style Cookies, Oatmeal Raisin",1700.0,5.17,69.3,12.1,175075
"Baby Toddler cereal, oatmeal with fruit, dry",392.0,10.64,74.22,6.13,2708497
"Baby Toddler cereal, oatmeal, ready-to-eat",76.0,2.54,13.77,1.3,2708500
"Babyfood, cereal, oatmeal, prepared with whole milk",116.0,5.0,15.3,4.1,173531
"Cereals ready-to-eat, QUAKER, Oatmeal Squares",379.0,11.4,77.8,4.83,174622
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, dry",334.0,12.6,72.6,2.73,172972
"Cookie, chocolate, made with oatmeal and coconut, no bake",450.0,6.2,68.7,18.1,2707914
"Cookies, oatmeal, commercially prepared, soft-type",409.0,6.1,65.7,14.7,172726
"Cookies, oatmeal, commercially prepared, special dietary",449.0,4.8,69.9,18.0,172734
"Oatmeal, instant, plain, made with milk, fat added",129.0,4.81,16.52,5.4,2708390
"Oatmeal, instant, plain, made with milk, no added fat",111.0,4.96,17.07,3.04,2708389
"Oatmeal, instant, plain, made with water, fat added",88.0,2.2,12.74,3.72,2708388
"Oatmeal, instant, plain, made with water, no added fat",68.0,2.26,13.15,1.3,2708387
"Oatmeal, regular or quick, made with milk, fat added",128.0,5.48,15.95,4.75,2708384
"Oatmeal, regular or quick, made with milk, no added fat",116.0,5.56,16.23,3.25,2708383
"Oatmeal, regular or quick, made with water, fat added",76.0,2.18,11.17,2.63,2708382
"Oatmeal, regular or quick, made with water, no added fat",64.0,2.21,11.36,1.09,2708381
"Archway Home Style Cookies, Date Filled Oatmeal",1670.0,4.67,68.2,12.0,173246
"Archway Home Style Cookies, Sugar Free Oatmeal",442.0,5.54,67.2,20.9,175070
"Baby Toddler cereal, oatmeal with fruit, ready-to-eat",89.0,1.92,18.4,0.96,2708503
"Babyfood, cereal, oatmeal, with honey, prepared with whole milk",115.0,5.0,15.3,3.9,172298
"Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon",379.0,11.2,78.1,4.88,174623
"Cereals, QUAKER, Instant Oatmeal, Cinnamon-Spice, dry",369.0,10.4,74.5,5.1,174636
"Cereals, QUAKER, Instant Oatmeal, Raisin and Spice, dry",1510.0,9.11,75.7,4.0,172991
"Cereals, QUAKER, Instant Oatmeal, weight control, cinnamon",1510.0,16.5,64.2,6.28,173926
"Cookies, oatmeal, prepared from recipe, without raisins",447.0,6.8,66.4,17.9,172807
"Babyfood, cereal, Oatmeal, dry, GERBER, SINGLE GRAIN, fortified",1660.0,10.9,73.6,6.42,173509
"Babyfood, oatmeal cereal with fruit, dry, instant, toddler fortified",402.0,10.5,74.1,7.05,171367
"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple",380.0,11.3,78.0,4.83,173014
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Spice, reduced sugar",358.0,11.3,69.4,6.11,173016
"Cereals, QUAKER, Instant Oatmeal, Cinnamon Swirl, high fiber",1530.0,8.79,75.7,4.8,171682
"Cereals, QUAKER, Instant Oatmeal, fruit and cream variety, dry",379.0,8.3,75.4,6.37,174624
"Cereals, QUAKER, Instant Oatmeal, maple and brown sugar, dry",368.0,9.2,76.9,4.63,173907
"Cereals, QUAKER, Instant Oatmeal, raisins, dates and walnuts, dry",1550.0,8.82,72.4,6.98,174625
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, blueberry hazelnut, dry",386.0,9.81,69.5,9.8,171683
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, cherry pistachio, dry",394.0,12.0,66.7,11.0,173925
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, peach almond, dry",1620.0,10.1,68.6,9.84,173924
"Cereals, QUAKER, oatmeal, REAL MEDLEYS, summer berry, dry",353.0,11.3,72.6,4.4,171685
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, no salt",61.0,2.08,13.5,0.47,172979
"Cereals, QUAKER, QUAKER MultiGrain Oatmeal, prepared with water, salt",61.0,2.07,13.5,0.47,172980
"Snacks, granola bars, QUAKER OATMEAL TO GO, all flavors",1630.0,6.67,75.5,6.67,174795
"Oatmeal, instant, plain, made with non-dairy milk, fat added",113.0,3.09,15.12,4.98,2708392
"Oatmeal, instant, plain, made with non-dairy milk, no added fat",94.0,3.18,15.62,2.6,2708391
"Oatmeal, regular or quick, made with non-dairy milk, fat added",107.0,3.31,14.18,4.21,2708386
"Oatmeal, regular or quick, made with non-dairy milk, no added fat",95.0,3.35,14.42,2.71,2708385
"Cereals, QUAKER, Instant Oatmeal, DINOSAUR EGGS, Brown Sugar, dry",384.0,8.69,73.7,7.59,174637
"Cereals, QUAKER, Weight Control Instant Oatmeal, maple and brown sugar",1510.0,16.4,64.2,6.2,173922
"Cereals, QUAKER, Instant Oatmeal, fruit and cream, variety of flavors, reduced sugar",376.0,10.2,71.6,7.46,174661
"Cereals, oats, instant, fortified, with cinnamon and spice, dry",1540.0,9.53,76.1,4.84,171664
"Cereals, oats, instant, fortified, plain, prepared with water (boiling water added or microwaved)",283.0,2.37,11.7,1.36,171662
"Cereals, oats, regular and quick, unenriched, cooked with water (includes boiling and microwaving), without salt",71.0,2.54,12.0,1.52,173905
Atole de avena,83.0,1.74,15.46,1.58,2710605
"Cereal, oat squares",379.0,10.4,73.27,5.22,2708466
"Cereals, oats, instant, fortified, plain, dry",1520.0,11.9,69.5,6.9,171661
Frescavena,45.0,0.25,10.59,0.15,2710604
"Cereals, oats, regular and quick, not fortified, dry",1590.0,13.2,67.7,6.52,173904
"OATMEAL BREAD, OATMEAL",260.0,10.0,48.0,4.0,2110080
"OATMEAL COOKIE, OATMEAL",398.0,4.0,66.0,14.0,2137844
"OATMEAL COOKIES, OATMEAL",474.0,5.26,63.2,18.4,2542053
"OATMEAL PANCAKES, OATMEAL",219.0,5.71,37.1,6.67,2287732
"OATMEAL CREMES FILLED OATMEAL COOKIES, OATMEAL",464.0,3.57,64.3,21.4,2077415
"LIGHT OATMEAL BREAD, OATMEAL",167.0,9.52,40.5,1.19,2623491
"OATMEAL ANIMAL COOKIES, OATMEAL",455.0,9.09,72.7,15.9,2637317
"OATMEAL ICED COOKIES, OATMEAL",500.0,6.67,70.0,20.0,2178381
"OATMEAL RAISIN COOKIE, OATMEAL",351.0,17.5,49.1,8.77,2446618
"OATMEAL SOFT COOKIES, OATMEAL",440.0,4.0,68.0,16.0,2042586
"WOOPEE, COOKIES, OATMEAL, OATMEAL",464.0,3.57,67.9,21.4,1879997
"BUTTERSCOTCH OATMEAL COOKIE, BUTTERSCOTCH OATMEAL",452.0,3.23,64.5,19.4,2145377
"CLASSIC OATMEAL COOKIES, CLASSIC OATMEAL",500.0,4.17,70.8,20.8,1046999
"ICED OATMEAL BARS, ICED OATMEAL",417.0,5.56,66.7,16.7,2414178
"ICED OATMEAL COOKIES ., ICED OATMEAL",440.0,4.0,72.0,16.0,2419612
"ICED OATMEAL COOKIES, ICED OATMEAL",480.0,4.0,60.0,24.0,2239697
"LIGHT OATMEAL BREAD, LIGHT OATMEAL",149.0,8.51,40.4,1.06,2033128
"MAPLE OATMEAL WITH QUINOA, MAPLE OATMEAL",386.0,11.4,70.4,5.68,2155340
"OATMEAL + RAISIN BAR, OATMEAL + RAISIN",397.0,20.7,51.7,13.8,1865469
"OATMEAL BAKEHOUSE MINI RAISIN, OATMEAL",412.0,5.88,64.7,14.7,2496361
"OATMEAL CHIP COOKIE, OATMEAL CHIP",447.0,4.7,63.5,18.8,2269844
"OATMEAL CHOCOLATE CHIP, OATMEAL CHOCOLATE",500.0,10.0,70.0,20.0,2665919
"OATMEAL COUNTRY STYLE BREAD, OATMEAL",265.0,10.2,49.0,4.08,2485978
"OATMEAL CRANBERRY COOKIES, OATMEAL CRANBERRY",465.0,6.98,62.8,18.6,2164301
"OATMEAL LIGHT STYLE BREAD, OATMEAL",246.0,10.5,49.1,1.75,2674363
"OATMEAL MINI ICED COOKIES, OATMEAL",464.0,3.57,75.0,17.9,2585523
"OATMEAL OLD FASHIONED COOKIES, OATMEAL",469.0,6.25,71.9,18.8,2252531
"OATMEAL RAISIN COOKIE, OATMEAL RAISIN",429.0,3.57,64.3,17.9,2368992
"OATMEAL RAISIN COOKIES, OATMEAL RAISIN",419.0,4.65,62.8,18.6,2367645
"OATMEAL RAISIN COOKIES, OATMEAL; RAISIN",457.0,5.71,68.6,20.0,2567289
"OATMEAL RAISIN SQUARES, OATMEAL RAISIN",360.0,12.0,62.0,10.0,2129366
"OATMEAL SOFT & CHEWY COOKIES, OATMEAL",429.0,3.57,67.9,16.1,2047814
"OATMEAL SOFT BAKED COOKIES, OATMEAL",440.0,4.0,72.0,14.0,2667459
"OATMEAL TARO BUBBLE TEA, OATMEAL",460.0,8.0,62.0,20.0,2652010
"OATMEAL THIN & CRISPY COOKIES, OATMEAL",467.0,3.33,70.0,23.3,2446948
"OATMEAL VARIETY PACK COOKIES, OATMEAL",480.0,4.0,72.0,18.0,1046997
"OATMEAL WHOLE GRAIN BREAD, OATMEAL",265.0,12.2,46.9,3.06,2110910
"ORIGINAL OATMEAL COOKIES, ORIGINAL OATMEAL",448.0,3.45,69.0,17.2,2498013
"SALTY OATMEAL COOKIES, SALTY OATMEAL",444.0,29.6,61.1,20.4,2483387
"SOFT OATMEAL BREAD, SOFT OATMEAL",256.0,9.3,48.8,3.49,2501816
"ULTIMATE OATMEAL COOKIE, ULTIMATE OATMEAL",447.0,5.26,60.5,21.0,2621488
"OATMEAL RAISIN SOFT OATMEAL COOKIE BARS WITH RAISINS, OATMEAL RAISIN",420.0,6.0,70.0,12.0,2011311
OATMEAL DRINK,70.0,2.0,10.5,2.0,467625
OATMEAL RAISIN,357.0,4.29,58.6,14.3,1922820
"BISCOTTI, OATMEAL",370.0,7.41,51.8,16.7,2431884
"BREAD, OATMEAL",256.0,7.69,51.3,2.56,1898875
CINNAMON OATMEAL,384.0,12.2,73.3,5.43,2441504
"COOKIES, OATMEAL",393.0,3.57,64.3,14.3,1930509
"DR.OETKER, OATMEAL",379.0,3.45,82.8,1.72,411452
ENERGIZED OATMEAL,417.0,13.3,65.0,11.7,2434669
FARMHOUSE OATMEAL,380.0,10.0,74.0,5.0,2094742
GOURMET OATMEAL,365.0,8.0,38.3,21.2,1899010
INSTANT OATMEAL,357.0,14.3,64.3,5.36,2099719
"Lettuce, raw",20.0,0.92,3.69,0.1,2709789
"Lettuce, cooked",49.0,1.06,4.21,3.11,2709949
"Lettuce, Boston, raw",18.0,0.88,3.26,0.11,2709790
"Lettuce, arugula, raw",25.0,2.58,3.65,0.66,2709791
"Romaine lettuce, raw",21.0,0.98,4.06,0.07,2709590
"Lettuce, for use on a sandwich",20.0,0.92,3.69,0.1,2710250
"Lettuce, iceberg, raw",,0.742,3.37,0.0738,2346388
"Lettuce, cos or romaine, raw",72.0,1.23,3.29,0.3,169247
"Lettuce, green leaf, raw",62.0,1.36,2.87,0.15,169249
"Lettuce, leaf, green, raw",,1.09,4.07,0.156,2346391
"Lettuce, leaf, red, raw",,0.883,3.26,0.106,2346390
"Lettuce, red leaf, raw",13.0,1.33,2.26,0.22,168431
"Lettuce, romaine, green, raw",,0.977,4.06,0.0712,2346389
"Lettuce, wilted, with bacon dressing",84.0,2.77,3.44,6.31,2709828
"Bacon, lettuce, tomato sandwich on wheat",229.0,12.02,27.53,7.76,2706980
"Bacon, lettuce, tomato sandwich on white",231.0,10.89,29.71,7.54,2706979
"Lettuce, iceberg (includes crisphead types), raw",58.0,0.9,2.97,0.14,169248
"Fast foods, taco with beef, cheese and lettuce, soft",860.0,9.25,20.2,9.75,170763
"Fast foods, taco with chicken, lettuce and cheese, soft",189.0,13.3,19.7,6.35,170764
"Lettuce, butterhead (includes boston and bibb types), raw",55.0,1.35,2.23,0.22,168429
"ON THE BORDER, soft taco with ground beef, cheese and lettuce",959.0,13.2,19.3,11.0,167657
"SUBWAY, tuna sub on white bread with lettuce and tomato",221.0,12.3,16.0,12.0,170316
"TACO BELL, Original Taco with beef, cheese and lettuce",229.0,8.86,19.8,12.7,170332
"TACO BELL, Soft Taco with beef, cheese and lettuce",860.0,9.25,20.2,9.75,170333
"TACO BELL, Soft Taco with chicken, cheese and lettuce",189.0,13.3,19.7,6.35,170732
"Fast Foods, crispy chicken filet sandwich, with lettuce and mayonnaise",276.0,10.9,27.4,13.6,170318
"Fast foods, taco with beef, cheese and lettuce, hard shell",226.0,8.86,19.8,12.7,170689
"Restaurant, Mexican, soft taco with ground beef, cheese and lettuce",219.0,12.6,17.9,10.8,167658
"SUBWAY, B.L.T. sub on white bread with bacon, lettuce and tomato",856.0,10.1,26.7,6.41,170312
"SUBWAY, cold cut sub on white bread with lettuce and tomato",896.0,10.5,20.4,10.0,170315
"SUBWAY, roast beef sub on white bread with lettuce and tomato",155.0,12.2,20.3,2.73,170713
"SUBWAY, SUBWAY CLUB sub on white bread with lettuce and tomato",146.0,10.7,20.4,2.42,170307
"SUBWAY, turkey breast sub on white bread with lettuce and tomato",147.0,9.12,22.4,2.31,170711
"Fast foods, crispy chicken in tortilla, with lettuce, cheese, and ranch sauce",1150.0,11.5,23.2,15.1,170785
"Fast Foods, grilled chicken filet sandwich, with lettuce, tomato and spread",182.0,17.3,16.8,4.57,170368
"Fast foods, grilled chicken in tortilla, with lettuce, cheese, and ranch sauce",222.0,13.8,18.4,10.3,170786
"Fast foods, submarine sandwich, bacon, lettuce, and tomato on white bread",205.0,10.1,26.7,6.41,170313
"Fast foods, submarine sandwich, ham on white bread with lettuce and tomato",631.0,9.12,22.9,2.53,170707
"Fast foods, submarine sandwich, tuna on white bread with lettuce and tomato",218.0,12.3,16.0,12.0,170299
"SUBWAY, black forest ham sub on white bread with lettuce and tomato",631.0,9.12,22.9,2.53,170712
"SUBWAY, oven roasted chicken sub on white bread with lettuce and tomato",157.0,10.8,21.4,3.15,170314
"Fast foods, submarine sandwich, cold cut on white bread with lettuce and tomato",213.0,10.5,20.4,10.0,170696
"Fast foods, submarine sandwich, roast beef on white bread with lettuce and tomato",652.0,12.2,20.3,2.73,170298
"Fast foods, submarine sandwich, turkey breast on white bread with lettuce and tomato",147.0,9.12,22.4,2.31,170706
"SUBWAY, steak & cheese sub on white bread with American cheese, lettuce and tomato",183.0,12.3,21.5,5.34,170310
"Fast foods, crispy chicken, bacon, and tomato club sandwich, with cheese, lettuce, and mayonnaise",1080.0,15.4,22.6,11.8,170753
"Fast foods, grilled chicken, bacon and tomato club sandwich, with cheese, lettuce, and mayonnaise",220.0,17.2,19.9,8.05,170752
"Fast foods, submarine sandwich, oven roasted chicken on white bread with lettuce and tomato",657.0,10.8,21.4,3.15,170309
"Fast foods, submarine sandwich, steak and cheese on white bread with cheese, lettuce and tomato",766.0,12.3,21.5,5.34,170311
"Fast foods, submarine sandwich, turkey, roast beef and ham on white bread with lettuce and tomato",146.0,10.7,20.4,2.42,170308
Identification of marker compounds for predicting browning of fresh-cut lettuce using untargeted UHPLC-HRMS metabolomics,,,,,2516757
"Asian chicken or turkey garden salad with crispy noodles, chicken and/or turkey, lettuce, fruit, nuts, crispy noodles, no dressing",116.0,10.24,8.11,5.26,2706817
"Chicken or turkey garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",93.0,10.26,3.02,4.52,2706814
"Chicken or turkey garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",106.0,10.95,3.0,5.61,2706812
"Chicken or turkey, breaded, fried, garden salad with cheese, chicken and/or turkey, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",123.0,6.5,6.47,7.9,2706815
"Chicken or turkey, breaded, fried, garden salad with bacon and cheese, chicken and/or turkey, bacon, cheese, lettuce and/or greens, tomato and/or carrots, other vegetables, no dressing",122.0,6.78,6.36,7.72,2706813
BUTTER LETTUCE AND LEAF LETTUCE,12.0,1.18,2.35,0.0,1920263
"BUTTER LETTUCE & RED LEAF LETTUCE BLEND, BUTTER LETTUCE",18.0,1.18,2.35,0.0,2624931
"ROMAINE LETTUCE, GREEN & RED LEAF LETTUCE, BUTTER LETTUCE & RADICCHIO 5-LETTUCE MEDLEY",18.0,1.18,3.53,0.0,2389620
"BUTTER LETTUCE SALAD, BUTTER LETTUCE",12.0,1.18,2.35,0.0,2326345
"SAUCE FOR LETTUCE WRAP, LETTUCE WRAP",231.0,0.0,38.5,7.69,2160098
SHREDDED LETTUCE CRISP ICEBERG LETTUCE,12.0,1.18,3.53,0.0,1924294
"ROMAINE LETTUCE, BUTTER AND LEAF LETTUCES SWEET HEARTS SALAD, ROMAINE LETTUCE, BUTTER AND LEAF LETTUCES",18.0,1.18,2.35,0.0,2470522
BABY LETTUCE,25.0,2.82,2.82,0.0,2411728
JUST LETTUCE,12.0,1.18,3.53,0.0,2579831
BUTTER LETTUCE,14.0,1.41,2.11,0.0,2393321
LETTUCE BOATS,18.0,1.18,3.53,0.0,2176418
LETTUCE LEAVES,18.0,1.18,2.35,0.0,2389504
LETTUCE WRAP,79.0,2.16,13.7,1.44,2090045
LETTUCE WRAPS,18.0,1.18,3.53,0.0,2427065
LIVING LETTUCE,10.0,2.0,3.0,,2091504
ROMAINE LETTUCE,18.0,1.18,2.35,0.0,2097874
SHREDDED LETTUCE,12.0,1.18,3.53,0.0,2388467
LEAFY ROMAINE LETTUCE & RED LEAF LETTUCE,18.0,1.18,3.53,0.0,2482136
"LEAFY ROMAINE LETTUCE, RED LEAF LETTUCE",18.0,1.18,3.53,0.0,2326346
"Caesar salad, with romaine, no dressing",77.0,4.0,7.49,3.41,2709591
"Mixed salad greens, raw",21.0,1.31,3.43,0.21,2709792
"Radicchio, raw",23.0,1.43,4.48,0.25,2709613
"SHREDDED LETTUCE FINELY CHOPPED ICEBERG LETTUCE FOR TACOS, SNADWICHES, AND SALADS, SHREDDED LETTUCE",12.0,,3.53,0.0,1975714
"Broccoli salad with cauliflower, cheese, bacon bits, and dressing",270.0,5.83,10.38,22.82,2709812
Broccoli slaw salad,123.0,1.97,10.41,8.11,2709813
"Cabbage salad, NFS",45.0,0.79,8.93,0.8,2709816
Coleslaw,117.0,0.94,10.45,7.98,2709815
"Coleslaw, fast food / restaurant",159.0,0.88,12.35,11.78,2709814
Cucumber and vegetable namasu,56.0,0.47,12.22,0.18,2709818
"Cucumber salad, made with sour cream dressing",66.0,1.3,3.7,5.18,2709819
"Mozzarella cheese, tomato, and basil, with oil and vinegar dressing",139.0,7.17,3.86,10.87,2705818
Pea salad,180.0,2.98,10.64,14.02,2710056
Pea salad with cheese,203.0,5.0,9.82,16.01,2710057
ORGANIC LETTUCE BLEND,24.0,2.35,3.53,0.0,2629206
"ROMAINE LETTUCE AND GREEN LEAF LETTUCE SALAD, LEAFY ROMAINE",18.0,1.18,3.53,0.0,2470528
"SWEET BUTTER, GREEN BUTTER LETTUCE & RED LEAF LETTUCE",12.0,1.18,2.35,0.0,2623116
BETTER CRUNCH LETTUCE,18.0,1.18,3.53,0.0,2389071
"BUTTER LETTUCE, BUTTER",12.0,1.18,2.35,0.0,1045677
CHOPPED ROMAINE LETTUCE,18.0,1.18,3.53,0.0,2503200
HEARTS OF ROMAINE LETTUCE,0.0,,,0.0,2290280
ICEBERG LETTUCE SHREDS,12.0,1.18,3.53,0.0,1937902
ICEBERG SHREDDED LETTUCE,12.0,1.18,3.53,0.0,1932698
ROMAINE HEARTS LETTUCE,18.0,1.18,3.53,0.0,2078752
SHREDDED ICEBERG LETTUCE,12.0,1.18,2.35,0.0,2135004
SHREDDED ROMAINE LETTUCE,18.0,1.18,3.53,0.0,2423930
TENDER BUTTER LETTUCE,12.0,1.18,2.35,0.0,2101999
TENDER ROMAINE LETTUCE,18.0,1.18,3.53,0.0,2074461
2 HEADS LETTUCE,11.0,1.12,2.25,0.0,577775
BABY BUTTER LETTUCE,12.0,1.18,2.35,0.0,1895664
GREEN LEAF LETTUCE,25.0,0.0,0.0,0.0,1545798
ORGANIC BABY LETTUCE,35.0,3.53,7.06,0.0,2629167
ORGANIC BABY LETTUCES,18.0,1.18,4.71,0.0,2618476
RED LEAF LETTUCE,18.0,1.18,2.35,0.0,1915205
SWEET BABY LETTUCE,18.0,1.18,3.53,0.0,2021410
"CHICKEN LETTUCE WRAP COOKING SAUCE, CHICKEN LETTUCE WRAP",120.0,2.67,21.3,2.67,2600585
"CHICKEN LETTUCE WRAPS COOKING SAUCE, CHICKEN LETTUCE WRAPS",120.0,2.67,21.3,2.67,2600635
"CHICKEN LETTUCE WRAPS SEASONING MIX, CHICKEN LETTUCE WRAPS",333.0,0.0,66.7,0.0,2019658
"KROGER, FRESH SELECTIONS, LEAFY ROMAINE, ROMAINE LETTUCE & LEAF LETTUCES",18.0,1.18,3.53,0.0,2035955
"BUTTER BLISS BUTTER LETTUCE, BABY RED LETTUCE, BUTTER BLISS",18.0,1.18,2.35,0.0,2679737
"FINELY CHOPPED ICEBERG LETTUCE FOR TACOS, SANDWICHES, AND SALADS, SHREDDED LETTUCE",12.0,1.18,3.53,0.0,736994
5-LETTUCE MIX SALAD,18.0,1.18,2.35,0.0,2616341
ROMAINE & GREEN LEAF LETTUCE,18.0,1.18,3.53,0.0,2390461
"SWEET & CRUNCHY BUTTER LETTUCE & RED BABY BUTTER LETTUCE, SWEET & CRUNCHY",14.0,1.41,2.11,0.0,2389627
"SWEET & CRUNCHY GREEN BUTTER LETTUCE, RED BUTTER LETTUCE, SWEET & CRUNCHY",21.0,1.41,2.11,0.0,2484546
"BLEND OF ROMAINE LETTUCE, GREEN TANGO LETTUCE, RADICCHIO, AND CARROTS SALAD BLEND",24.0,1.18,3.53,0.0,2486093
"ICEBERG LETTUCE, GREEN LEAF LETTUCE, CARROTS, RED CABBAGE CRISP GREENS",18.0,1.18,3.53,0.0,2326419
FINELY SHREDDED ICEBERG LETTUCE,12.0,1.18,2.35,0.0,2680529
"ICEBERG SHREDDED LETTUCE, ICEBERG",18.0,1.18,3.53,0.0,2617727
"TAYLOR FARMS, ICEBERG LETTUCE",12.0,1.18,3.53,0.0,2058996
TENDER CHOPPED ROMAINE LETTUCE,18.0,1.18,3.53,0.0,2399253
WASHED & TRIMMED ICEBERG LETTUCE,18.0,1.18,3.53,0.0,1915207
BABY RED BUTTER LETTUCE,24.0,2.35,2.35,0.0,2065246
"ROMAINE SHREDDED LETTUCE, ROMAINE",24.0,1.18,3.53,0.0,2625361
ORGANIC LITTLE GEM LETTUCE,24.0,1.18,3.53,0.0,2372577
SPIRAL PATH BUTTER LETTUCE,14.0,0.7,2.82,0.0,2424480
BABY SPINACH & BUTTER LETTUCE,18.0,2.35,2.35,0.0,2612312
ITALIAN SUB WITH LETTUCE & TOMATO,192.0,11.4,19.2,7.84,1903484
KOREAN BBQ LETTUCE WRAPS,102.0,6.25,13.3,2.73,2089963
ORGANIC SWEET BABY LETTUCE,24.0,2.35,3.53,0.0,2100604
SEASONED CHICKEN FOR LETTUCE WRAPS,123.0,10.5,7.02,5.26,1893547
"SPANISH LETTUCE SALAD, ORIGINAL",286.0,7.14,3.57,28.6,2626766
